username, created_at, lng, lat, textAndreChandlerJr, Sun Jan 17 17:11:59 +0000 2021, -82.949623, 42.538802, I just wanna take the time out and just say THANK YOU GOD 🙇🏽‍♂️🙏🏽
GeeRubbs, Sun Jan 17 17:12:03 +0000 2021, -92.131274, 34.751936, @Ppuddin3 @SportsTalkwBo First off if you're getting off the bus because of something u heard on Twitter then don't… https://t.co/YdY4sJmlbk
luddi_1998, Sun Jan 17 17:12:03 +0000 2021, -121.628926, 39.121659, So I hooked up with homeboy and woke up cuddled up in the am with his best friend kill me now !
ldduval11, Sun Jan 17 17:12:03 +0000 2021, -122.435979, 37.770657, I completely agree with this post. https://t.co/fMLyRaURz3
SteveCr48070249, Sun Jan 17 17:12:03 +0000 2021, -94.023313, 41.615468, @MollyJongFast @ThisGuy0158 Even the AIR seems cleaner and SMELLS BETTER.
kirrriooo, Sun Jan 17 17:12:03 +0000 2021, -83.711703, 33.800984, Tuhh rd @ThegirlJT you liking my post reply and say thank you 😂😂😂
mattroberts, Sun Jan 17 17:12:03 +0000 2021, -76.473111, 44.320833, @Shubham @BackbonePodcast Any time !
FakeDanWeber, Sun Jan 17 17:12:03 +0000 2021, -93.105649, 44.941516, @Jay05430795 oh for sure, man, definitely, definitely going for sarcasm here, mostly: https://t.co/oM7blcVktx
JayBoss1998, Sun Jan 17 17:12:03 +0000 2021, -117.953239, 34.033260, Good morning everyone https://t.co/FS7g2cBqap
Leonoralovelove, Sun Jan 17 17:12:03 +0000 2021, -118.411907, 34.020789, @UROCKlive1 It’s funn 😉
COMOswimming, Sun Jan 17 17:12:03 +0000 2021, -92.436774, 38.304558, 🐻200 IMAidan Matteson was your lone competitor from Team COMO. She finished 18th overall with a 3:16.58!
mrfunsiz3, Sun Jan 17 17:12:03 +0000 2021, -84.433106, 33.767195, Stop saying u staying at a hotel when it’s a motel..it’s ok u still have room &amp; board Pooh
tennis12007, Sun Jan 17 17:12:03 +0000 2021, -83.804475, 27.698682, @VP you missed the war Trump started in the US that you were almost KIA. @Martina @LeChatNoire4 @funder @Patta47cake @DanaPerino
ken_shep1, Sun Jan 17 17:12:03 +0000 2021, -97.169156, 31.547449, My boyfriend:                             Me:
BarbaraAnneLew2, Sun Jan 17 17:12:04 +0000 2021, -83.804475, 27.698682, @MiraCeleste2 @tokitaeII Like Nixon's historic departure, in disgrace. It's not like we won't be seeing clips of it… https://t.co/QTzmh1mtQN
ashesthepainter, Sun Jan 17 17:12:04 +0000 2021, -77.604684, 41.117936, it was like even having thoughts hurt
yourbizdr, Sun Jan 17 17:12:04 +0000 2021, -88.291366, 42.183365, @AliceLBronte Thank you!  So proud to share a link to our second book in The @iinteamseries; Individual Advantages:… https://t.co/pflpU7bZv9
ajtonge40, Sun Jan 17 17:12:04 +0000 2021, -83.168203, 42.481747, @FlightNGravity @baileyzindel @LllRoyalton @Eve6 Either that or Lars plays Black Album tunes properly.
mrsdmartelli, Sun Jan 17 17:12:04 +0000 2021, -75.072719, 39.751655, @dkane204 So cute! Every-once-in-a-while, the  MS boys start making tiny ponies all over their heads... maybe he’ll start a new trend ☺️
InGodITruss1, Sun Jan 17 17:12:04 +0000 2021, -86.644464, 33.650651, @KINGCMo Bro trust it I'm telling ya idk what these folks seeing .
JerryT85373, Sun Jan 17 17:12:04 +0000 2021, -111.931711, 34.168253, @MissieDeeDee Absolutely. You do the same, my dear friend🙏🏻
amykrakow, Sun Jan 17 17:12:05 +0000 2021, -73.968542, 40.780709, https://t.co/GxoyC145G3  #wallofsound #philspector
dahmady, Sun Jan 17 17:12:05 +0000 2021, -117.022695, 38.502147, Facebook suspended my account for calling Taliban &amp; government of Afghanistan 🇦🇫 are terrorist… https://t.co/X0iJ9ewe3w
TheyHateNoel, Sun Jan 17 17:12:05 +0000 2021, -96.734900, 33.061243, And maintenance ain't a joke. Everyone want a Benz and idk why
DavidBalicki, Sun Jan 17 17:12:05 +0000 2021, -80.133500, 25.813800, Vient de publier une photo à Miami Beach, Florida https://t.co/ET2CInWrw7
kennababyxo, Sun Jan 17 17:12:05 +0000 2021, -95.263313, 37.342590, my dogs trainer really said she has a personality disorder 🥲
__5urgery, Sun Jan 17 17:12:05 +0000 2021, -82.330269, 29.673172, Consistency=results 🦋
pinkcardinal, Sun Jan 17 17:12:05 +0000 2021, -98.540651, 29.417501, @Tina_Ry_7 https://t.co/WacGtjNrCt
TyMilledge__, Sun Jan 17 17:12:05 +0000 2021, -75.045641, 39.386240, it be the weird acting niggas fa me 😭
WANDTVDoug, Sun Jan 17 17:12:05 +0000 2021, -88.936684, 39.854585, The Mega Millions lottery jackpot stands at $850 million for Tuesday. The Powerball drawing is on Wednesday with a… https://t.co/ELcGIkNUsV
D0ugSt0ne, Sun Jan 17 17:12:05 +0000 2021, -75.770041, 42.746617, LFG #Browns
AyyeKid11, Sun Jan 17 17:12:06 +0000 2021, -111.928142, 33.392884, My Dog Kujo really got in the drivers seat of my car and started blowing the horn as I went inside the store 🤣
RevWeb, Sun Jan 17 17:12:06 +0000 2021, -106.632718, 35.117002, @Capitals Yikes!!! Shake it off boys!!! You got this.
photobyjnp, Sun Jan 17 17:12:06 +0000 2021, -93.361321, 46.441861, Was 46 degrees when I left for the airport this morning in Port Orange, FL wearing a hoodie. It’s 16 degrees here i… https://t.co/DkycXB7Laf
bathori, Sun Jan 17 17:12:06 +0000 2021, -118.411907, 34.020789, @travismcelroy @BabbelUSA Je suis bilingue si tu veux pratiquer
TheGrtNecessity, Sun Jan 17 17:12:06 +0000 2021, -117.104989, 32.810012, More Cash Means More Problems for Big Banks https://t.co/STj9CQHkK4
_FemiAminu_, Sun Jan 17 17:12:06 +0000 2021, -79.272570, 43.629311, Rashford just dey chop offside anyhow
Virus_J9, Sun Jan 17 17:12:06 +0000 2021, -111.917026, 40.765805, @DarkZeroGG @Rogue https://t.co/GWzknGnDsZ
mz_lat, Sun Jan 17 17:12:06 +0000 2021, -105.550890, 38.997936, Hurray!
brandonbowers, Sun Jan 17 17:12:06 +0000 2021, -114.310609, 34.491053, Looks like I’m on the right side of this one. https://t.co/6KC6gZOR3z
PriceHandsome, Sun Jan 17 17:12:06 +0000 2021, -96.734900, 33.061243, FUSTRATED IN AMERICA! 🇺🇸YUNG NIGHA 101 / REAL NIGHA 101
Phenomenal_KiKi, Sun Jan 17 17:12:06 +0000 2021, -97.135638, 32.701850, ‼️🤞🏾🥰 #bff #sheisthat
slegath, Sun Jan 17 17:12:07 +0000 2021, -79.980689, 40.431389, They brought back Party Hard and I can’t be there to hear it?!?!?!
tiyoniamil, Sun Jan 17 17:12:07 +0000 2021, -84.333880, 33.585640, i miss my kids from the y so muchhhh🥺🥺🥺🥺🥺
Mariahcharleson, Sun Jan 17 17:12:07 +0000 2021, -123.934998, 49.174535, “Exploring” an area that was known extremely well for thousands &amp; thousands of years by First Nations who’ve surviv… https://t.co/McxCqy6peP
_astoldbytimiya, Sun Jan 17 17:12:07 +0000 2021, -88.161555, 30.683649, Happy birthday fam ❤️
veetheemoqueen, Sun Jan 17 17:12:07 +0000 2021, -77.688536, 43.251452, Then drop Shane too sweetie or shut the fuck up
eden_inzunzab, Sun Jan 17 17:12:07 +0000 2021, -107.342056, 24.662488, #TodosSomosUno 🙋‍♀️🙋🙋‍♂️#PND2021 📜 por mejores condiciones salariales✔️ prestacionales✔️ laborales✔️ profesionale… https://t.co/YcJS9kf5Q9
billydakidd03, Sun Jan 17 17:12:07 +0000 2021, -115.133373, 36.249124, #SawThisAndDied... https://t.co/iaR4ObKaeN
swlsuyoto, Sun Jan 17 17:12:07 +0000 2021, -83.804475, 27.698682, I miss spending my days at the trap
x0mitaaa, Sun Jan 17 17:12:07 +0000 2021, -71.713617, 42.287852, Ok I’m done talking my shit on here for now .. let me shop online 😂
WildmanPammer, Sun Jan 17 17:12:07 +0000 2021, -86.659261, 33.386744, @KipHenley Congrats Kip
Llamakoolaid, Sun Jan 17 17:12:07 +0000 2021, -122.347285, 47.465059, Wait a minute what?  Luke Shaw slid into Mané, Dafuq
izzy_avi, Sun Jan 17 17:12:07 +0000 2021, -80.322631, 25.940281, @Ietmeshine https://t.co/UyIV8K1jai
SamTheCameraMan, Sun Jan 17 17:12:07 +0000 2021, -79.517100, 43.629400, Just posted a photo @ Etobicoke https://t.co/kVm8vYTiFF
ShaggyBlack, Sun Jan 17 17:12:07 +0000 2021, -97.754724, 30.323346, Sunday https://t.co/UODKj9iNm5
markopat, Sun Jan 17 17:12:08 +0000 2021, -111.738566, 33.295215, @reinkej10 @AaronNagler Just the 49ers in my lifetime.
B1GFANOFYEAR, Sun Jan 17 17:12:08 +0000 2021, -90.597442, 41.537943, @Elisanders62 LETS GO HAWKS LETS GO HAWKS LETS GO HAWKS LETS GO HAWKS LETS GO HAWKS!!
FOL_Ministries, Sun Jan 17 17:12:08 +0000 2021, -86.611411, 34.706027, Building Up For Kingdom Work | Jude 1:17-23 #Kingdomwork #Jude @pastorjstrong1
CharlieMcManus9, Sun Jan 17 17:12:08 +0000 2021, -76.746638, 38.963783, @CapsOutsider It’s Sunday
wallabyeee, Sun Jan 17 17:12:08 +0000 2021, -79.861034, 35.170499, @eyiaj It’s crazy because like Muslims believe in Christ so it’s not like he probably even disagreed with most of w… https://t.co/idrldIqqc3
JeffAckermann, Sun Jan 17 17:12:08 +0000 2021, -77.014398, 38.898603, @theandyoverton I’ll check this out, I always trust your recommendations!
